01Log2019_08_05-22_09_41.csv
08/05/2019    22:09:41.457, VI started
08/05/2019    22:09:43.013, Logging to: 2019_08_05-22_09_43_Data.csv
08/05/2019    22:09:43.013, Trigger sent to #14, T=2000ms
08/05/2019    22:12:44.442, Announcement from #14
08/05/2019    22:13:12.488, Trigger sent to #14, T=2000ms
08/05/2019    22:15:48.313, Announcement from #14
08/05/2019    22:15:55.715, Trigger sent to #14, T=2000ms
08/05/2019    22:17:07.273, Announcement from #14
08/05/2019    22:18:31.872, Announcement from #14
08/05/2019    22:18:39.109, Trigger sent to #14, T=2000ms
08/05/2019    22:24:03.236, Announcement from #14
08/05/2019    22:24:18.874, Trigger sent to #14, T=2000ms
08/05/2019    22:24:52.089, Stop sent to #14
