01Log2019_08_05-21_52_52.csv
08/05/2019    21:52:52.714, VI started
08/05/2019    21:53:01.291, Announcement from #14
08/05/2019    21:53:04.160, Logging to: 2019_08_05-21_53_04_Data.csv
08/05/2019    21:53:04.160, Trigger sent to #14, T=2000ms
08/05/2019    22:00:20.215, Announcement from #14
08/05/2019    22:00:25.136, Trigger sent to #14, T=2000ms
08/05/2019    22:01:47.029, Announcement from #14
08/05/2019    22:02:02.901, Trigger sent to #14, T=2000ms
08/05/2019    22:09:10.968, Stop sent to #14
08/05/2019    22:09:34.526, Announcement from #14
