2019_08_05-19_05_27
Time,Unit,Sample#,sens.type1,val1,...
19:05:33.108,14,2,0,6746,16,4981,32,31,48,52,64,32,80,34,96,26684,112,131,128,2869,144,4928,160,230,176,2866,240,294,253,29424,254,23050,
19:05:33.230,14,3,0,6746,16,4981,32,88,48,107,64,87,80,88,96,26684,112,186,128,2869,144,4928,160,283,176,2870,240,295,253,29432,254,23022,
19:05:33.320,14,4,0,6745,16,4981,32,142,48,160,64,141,80,141,96,26685,112,239,128,2868,144,4927,160,334,176,2869,240,295,253,29424,254,23034,
19:05:33.415,14,5,0,6746,16,4980,32,196,48,212,64,194,80,193,96,26684,112,291,128,2871,144,4927,160,384,176,2867,240,295,253,29428,254,23034,
19:05:33.526,14,6,0,6746,16,4980,32,249,48,263,64,245,80,243,96,26684,112,342,128,2869,144,4927,160,433,176,2867,240,295,253,29432,254,23038,
19:05:33.638,14,7,0,6745,16,4980,32,300,48,313,64,295,80,292,96,26684,112,392,128,2868,144,4927,160,481,176,2867,240,295,253,29432,254,23022,
19:05:33.747,14,8,0,6746,16,4980,32,350,48,361,64,344,80,340,96,26684,112,440,128,2870,144,4927,160,528,176,2868,240,298,253,29432,254,23026,
19:05:33.834,14,9,0,6746,16,4979,32,399,48,408,64,392,80,388,96,26684,112,488,128,2869,144,4927,160,573,176,2868,240,297,253,29432,254,23030,
19:05:33.924,14,10,1,10116,17,7466,33,687,49,703,65,676,81,667,96,26684,113,822,129,4335,145,7388,161,943,177,4329,240,297,253,29436,254,23026,
19:05:34.057,14,11,2,20200,18,14899,34,1562,50,1584,66,1537,82,1510,96,26683,114,1815,130,4155,146,14743,162,2052,178,4146,240,295,253,29432,254,23030,
19:05:34.118,14,12,2,20199,18,14898,35,3542,51,3573,67,3482,83,3422,96,26684,115,4021,131,7804,146,14742,163,4434,179,7811,240,293,253,29436,254,23026,
19:05:34.221,14,13,2,20199,18,14898,36,6801,52,6813,68,6653,84,6515,96,26684,116,7309,132,23,146,14742,164,8276,180,22,240,293,253,29428,254,23030,
19:05:34.319,14,14,2,20199,18,14898,37,10444,53,10893,69,10110,85,10304,96,26683,117,11174,133,45,146,14741,165,12726,181,43,240,295,253,29432,254,23022,
19:05:34.421,14,15,2,20200,18,14896,37,7992,53,8727,69,7638,85,8140,96,26684,117,8504,133,45,146,14741,165,9758,181,43,240,293,253,29428,254,23026,
19:05:34.520,14,16,2,20198,18,14896,37,6093,53,6999,69,5728,85,6419,96,26684,117,6441,133,45,146,14740,165,7455,181,43,240,294,253,29436,254,23026,
19:05:34.628,14,17,2,20198,18,14896,37,4628,53,5632,69,4248,85,5045,96,26684,117,4842,133,45,146,14740,165,5667,181,43,240,294,253,29432,254,23018,
19:05:34.722,14,18,2,20198,18,14895,37,3491,53,4547,69,3100,85,3951,96,26685,117,3604,133,45,146,14739,165,4278,181,44,240,293,253,29428,254,23018,
19:05:34.825,14,19,2,20198,18,14895,37,2612,53,3688,69,2213,85,3087,96,26684,117,2648,133,45,146,14739,165,3201,181,43,240,294,253,29432,254,23022,
19:05:34.928,14,20,2,20199,18,14894,37,1931,53,3004,69,1525,85,2403,96,26684,117,1908,133,45,146,14738,165,2370,181,43,240,294,253,29436,254,23018,
