01Log2019_08_06-14_56_18.csv
08/06/2019    14:56:18.982, VI started
08/06/2019    14:56:29.279, Announcement from #14
08/06/2019    14:56:39.891, Logging to: 2019_08_06-14_56_39_Data.csv
08/06/2019    14:56:39.892, Trigger sent to #255, T=2000ms
08/06/2019    14:56:42.880, Trigger sent to #255, T=2000ms
08/06/2019    15:00:49.258, Announcement from #14
08/06/2019    15:00:52.655, Trigger sent to #255, T=2000ms
08/06/2019    15:04:50.909, Announcement from #14
08/06/2019    15:04:56.229, Trigger sent to #255, T=2000ms
08/06/2019    15:15:38.665, Announcement from #14
08/06/2019    15:15:50.601, Trigger sent to #255, T=2000ms
08/06/2019    18:51:35.261, Announcement from #13
08/06/2019    18:51:35.548, ERROR from #13 : failed to initalize ADC
08/06/2019    18:51:35.549, ERROR from #13 : Si7021 RH T sensor not found at initalization - continue without
